epoch: 1 loss: tensor(52.1313, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2000, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(52.1313, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2670, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.6872, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(25.2047, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6569, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(25.2047, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4026, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.1644, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(63.7395, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6810, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(63.7395, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8.1353, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8344, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(14.2037, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1153, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(14.2037, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6879, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.2040, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(58.1911, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8678, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(58.1911, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0150, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.1803, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(27.7828, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8738, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(27.7828, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6852, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4212, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(32.4613, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7238, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(32.4613, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0933, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.0563, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(19.9569, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8096, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(19.9569, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8193, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.6037, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(28.4535, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0704, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(28.4535, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2264, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9204, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(22.1237, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8334, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(22.1237, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2328, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9496, device='cuda:0', grad_fn=<MseLossBackward0>)
